Tweet_id,Name,Id,Follower_count,Tweet,Favourites_count,Retweet_count,Topic_name,Fav_R,Fol_R,Ret_R,Event_Engagement,User_Influence,Polarity,Sentiment_Score,User_Activity,Cred_Score
1211133118507180032,AvinashVedant,891307553862418435,1,"""In nature, nothing is perfect and everything is perfect. Trees can be contorted, bent in weird ways, and they're still beautiful.""
#naturephotography https://t.co/3D1RDKoAYZ",0,0
1211133120789073921,sunriseharry,44384203,19851,Sorry for the football tweet but damn refs can’t play fair and obviously favor one team 🙄,3970,1323
1211133121556439042,Hellolemur,126973077,798,@jeffreadwrite Enjoy the dark nights of winter! Healthy thoughts for you,159,53
1211133122189938688,Zoe_Eclass,3189347727,368,This the new spot in Winter Haven pull up on me tonight #FinalDestinationLastSaturday.. https://t.co/2KneVc3FuI,73,24
1211133123179827202,markspotsthex,107891545,115,"@_WilliamsonBen I’ve had 4 concussions from football. I lose words from my vocabulary regularly. I forget names for friends and co-workers I’ve known for years.

If you don’t punish them severely, players won’t try to avoid making plays that could maim others. Ejection is the least refs can do.",23,7
1211133127151833090,__hazedemotions,331300167,2729,all I see is football down my tl.,545,181
1211133128288428032,armyingmx,1195071555950305281,25,"@cokodive WINTER ❄️ 💜 
@pm_2093 @MexiNoonas @steloonarmy @Missjeonjkk @ShookyCooky95",5,1
1211133131916480512,_kcrene,410411177,321,Ya know it’s bad when @ColinCowherd sides with @OhioStateFB,64,21
1211133132063293442,puckandrally,56609913,1250,"I'll be completely honest and say that I don't get that much pure fun anymore, given the nature of what I am. Julia Gaynor scoring twice at DU was pure fun, and so was this. Can't say enough about what a great event it was.",250,83
1211133132054896640,DarrenLGardner,851560361623003142,124,So well put!!!! Just. So. Well. Put!,24,8
1211133135204827139,TheSaudSiddiqui,1074801513124499456,66,"@ESPNcricinfo Ponting - One of the only true aggressive world captains in world cricket, let alone for Australia.",13,4
1211133136584790016,LZingarella,636485008,169,@rubinonoah25 If you think a play like that is a reason that a player gets CTE and can’t enjoy life past football then you’ve never watched the guts of football where linemen go head to head every play which is the part of football thats scientifically the worst for the brain,33,11
1211133137515950080,KITTYKOTZ,155553683,94,"@KierstenWarren Evergreens are winter, not holiday. Keep it until it’s falling apart!",18,6
1211133137700478976,TMartin0021,869746410228523008,117,Mad respect,23,7
1211133137985527809,foster_emmy,3241888981,783,Drew Brees is the MOST underrated football player of all time. Do not argue with me.,156,52
1211133138346229760,roncaruthers,16524225,6584,"Read this as many times as you need to until you grasp the lesson here.

Absolutely brilliant tweet.

Marketing, business and human nature all summed up.

Learn from this.

👇",1316,438
1211133138757443585,redwolverines,2314475022,82,"@QW5kcmV3 Part of me wants to agree with your stance on open source attack, pivot afterwards, software.
  The other part knows that ship has already sailed...",16,5
1211133139088760833,AlisonLitthong,492763002,648,Guess who was watching TikToks and football and didn’t try on outfits?? ME!!! And guess who’s at target freaking tf out?!,129,43
1211133139541798912,OGLemonade,1070031114700513282,127,Back to football only sport that actually matters 🤭,25,8
1211133140049240064,BABIESBUSAN,1204196906202812418,324,updating !!,64,21
1211133140263227392,GodElJay,1079490250928504833,271,Pick the football,54,18
1211133140476911617,_wintaebear,864036155930497024,1253,can y'all drop cute pictures of taehyung? 👉👈 i need it for science,250,83
1211133142246912000,cricketit2,1146303807795552257,5,"#PeterSiddle announces retirement from international Cricket. 

#Australia #RickyPonting #Cricket #Cricketit #LoveCricket #CricketLove #Retirement #Cricketfamily https://t.co/FHEm8s6d7l",1,0
1211133142834335750,jeffhochberg,18497421,58,@RGT_85 would you please use your resources to find out what’s going on with the Panzer Dragoon remake for the Switch? Last we heard it was supposed to be released this winter. No new news since E3. #anxious,11,3
1211133142783803393,kimmbelle,36987777,1429,So sad! 😭,285,95
1211133143685554177,ProbablePiper,14634078,222,@MarieZastava I was shivering up a storm and there were definitely people in winter jackets,44,14
1211133143216001025,TheDrewYariShow,983771423083769857,260,"2010: Kick-Ass
2011: First Class
2012: AVENGERS
2013: The Wolverine 
2014: Winter Soldier
2015: Ant-Man
2016: Deadpool
2017: Logan
2018: Infinity War
2019: Endgame https://t.co/6bxjs1tX3s",52,17
1211133144746868736,mysportscores,1276237820,359,Northern Districts 68/2 * v Otago  #Cricket,71,23
1211133146403487744,equalearth,990208711,160,GROWTH psychosis fuels media pomoted/vested interests sponsored political/economic/demographic debt growth that fuels #climatechange/#nature wipeout; from fixed football to electioneering=mass incitement to congregate to connive/collude in global loss of reality=65yrs deception,32,10
1211133146877612032,ItsMeHarsh_3,429406796,221,Now thats the Clemson football team I know and love,44,14
